dato,skole,elevdag,sfodag,kommentar
2016-08-15,Auglend skole,Nei,Nei,Planleggingsdag
2016-08-16,Auglend skole,Nei,Ja,Planleggingsdag
2016-08-17,Auglend skole,Nei,Ja,Planleggingsdag
2016-10-10,Auglend skole,Nei,Ja,Høstferie
2016-10-11,Auglend skole,Nei,Ja,Høstferie
2016-10-12,Auglend skole,Nei,Ja,Høstferie
2016-10-13,Auglend skole,Nei,Ja,Høstferie
2016-10-14,Auglend skole,Nei,Ja,Høstferie
2016-11-18,Auglend skole,Nei,Nei,Planleggingsdag
2016-12-22,Auglend skole,Nei,Ja,Juleferie
2016-12-23,Auglend skole,Nei,Ja,Juleferie
2016-12-25,Auglend skole,Nei,Nei,1. juledag
2016-12-26,Auglend skole,Nei,Nei,2. juledag
2016-12-27,Auglend skole,Nei,Ja,Juleferie
2016-12-28,Auglend skole,Nei,Ja,Juleferie
2016-12-29,Auglend skole,Nei,Ja,Juleferie
2016-12-30,Auglend skole,Nei,Ja,Juleferie
2017-01-01,Auglend skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Auglend skole,Nei,Ja,Planleggingsdag
2017-02-27,Auglend skole,Nei,Ja,Vinterferie
2017-02-28,Auglend skole,Nei,Ja,Vinterferie
2017-03-01,Auglend skole,Nei,Ja,Vinterferie
2017-03-02,Auglend skole,Nei,Ja,Vinterferie
2017-03-03,Auglend skole,Nei,Ja,Vinterferie
2017-04-09,Auglend skole,Nei,Nei,Palmesøndag
2017-04-10,Auglend skole,Nei,Ja,Påskeferie
2017-04-11,Auglend skole,Nei,Ja,Påskeferie
2017-04-12,Auglend skole,Nei,Ja,Påskeferie
2017-04-13,Auglend skole,Nei,Nei,Skjærtorsdag
2017-04-14,Auglend skole,Nei,Nei,Langfredag
2017-04-16,Auglend skole,Nei,Nei,1. påskedag
2017-04-17,Auglend skole,Nei,Nei,2. påskedag
2017-05-01,Auglend skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Auglend skole,Nei,Nei,Grunnlovsdag
2017-05-25,Auglend skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Auglend skole,Nei,Ja,Fridag
2017-06-04,Auglend skole,Nei,Nei,1. pinsedag
2017-06-05,Auglend skole,Nei,Nei,2. pinsedag
2017-06-06,Auglend skole,Nei,Nei,Planleggingsdag
2017-06-30,Auglend skole,Nei,Ja,Siste dag - SFO
2016-08-15,Austbø skole,Nei,Nei,Planleggingsdag
2016-08-16,Austbø skole,Nei,Nei,Planleggingsdag
2016-08-17,Austbø skole,Nei,Nei,Planleggingsdag
2016-10-10,Austbø skole,Nei,Nei,Høstferie
2016-10-11,Austbø skole,Nei,Nei,Høstferie
2016-10-12,Austbø skole,Nei,Nei,Høstferie
2016-10-13,Austbø skole,Nei,Nei,Høstferie
2016-10-14,Austbø skole,Nei,Nei,Høstferie
2016-11-18,Austbø skole,Nei,Nei,Planleggingsdag
2016-12-22,Austbø skole,Nei,Nei,Juleferie
2016-12-23,Austbø skole,Nei,Nei,Juleferie
2016-12-25,Austbø skole,Nei,Nei,1. juledag
2016-12-26,Austbø skole,Nei,Nei,2. juledag
2016-12-27,Austbø skole,Nei,Nei,Juleferie
2016-12-28,Austbø skole,Nei,Nei,Juleferie
2016-12-29,Austbø skole,Nei,Nei,Juleferie
2016-12-30,Austbø skole,Nei,Nei,Juleferie
2017-01-01,Austbø skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Austbø skole,Nei,Nei,Planleggingsdag
2017-02-27,Austbø skole,Nei,Nei,Vinterferie
2017-02-28,Austbø skole,Nei,Nei,Vinterferie
2017-03-01,Austbø skole,Nei,Nei,Vinterferie
2017-03-02,Austbø skole,Nei,Nei,Vinterferie
2017-03-03,Austbø skole,Nei,Nei,Vinterferie
2017-04-09,Austbø skole,Nei,Nei,Palmesøndag
2017-04-10,Austbø skole,Nei,Nei,Påskeferie
2017-04-11,Austbø skole,Nei,Nei,Påskeferie
2017-04-12,Austbø skole,Nei,Nei,Påskeferie
2017-04-13,Austbø skole,Nei,Nei,Skjærtorsdag
2017-04-14,Austbø skole,Nei,Nei,Langfredag
2017-04-16,Austbø skole,Nei,Nei,1. påskedag
2017-04-17,Austbø skole,Nei,Nei,2. påskedag
2017-04-18,Austbø skole,Nei,Nei,Planleggingsdag
2017-05-01,Austbø skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Austbø skole,Nei,Nei,Grunnlovsdag
2017-05-25,Austbø skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Austbø skole,Nei,Nei,Fridag
2017-06-04,Austbø skole,Nei,Nei,1. pinsedag
2017-06-05,Austbø skole,Nei,Nei,2. pinsedag
2016-08-01,Buøy skole,Nei,Ja,Første dag - SFO
2016-08-15,Buøy skole,Nei,Nei,Planleggingsdag
2016-08-16,Buøy skole,Nei,Nei,Planleggingsdag
2016-08-17,Buøy skole,Nei,Nei,Planleggingsdag
2016-10-10,Buøy skole,Nei,Ja,Høstferie
2016-10-11,Buøy skole,Nei,Ja,Høstferie
2016-10-12,Buøy skole,Nei,Ja,Høstferie
2016-10-13,Buøy skole,Nei,Ja,Høstferie
2016-10-14,Buøy skole,Nei,Ja,Høstferie
2016-11-18,Buøy skole,Nei,Nei,Planleggingsdag
2016-12-22,Buøy skole,Nei,Ja,Juleferie
2016-12-23,Buøy skole,Nei,Ja,Juleferie
2016-12-25,Buøy skole,Nei,Nei,1. juledag
2016-12-26,Buøy skole,Nei,Nei,2. juledag
2016-12-27,Buøy skole,Nei,Ja,Juleferie
2016-12-28,Buøy skole,Nei,Ja,Juleferie
2016-12-29,Buøy skole,Nei,Ja,Juleferie
2016-12-30,Buøy skole,Nei,Ja,Juleferie
2017-01-01,Buøy skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Buøy skole,Nei,Ja,Planleggingsdag
2017-02-27,Buøy skole,Nei,Ja,Vinterferie
2017-02-28,Buøy skole,Nei,Ja,Vinterferie
2017-03-01,Buøy skole,Nei,Ja,Vinterferie
2017-03-02,Buøy skole,Nei,Ja,Vinterferie
2017-03-03,Buøy skole,Nei,Ja,Vinterferie
2017-04-09,Buøy skole,Nei,Nei,Palmesøndag
2017-04-10,Buøy skole,Nei,Ja,Påskeferie
2017-04-11,Buøy skole,Nei,Ja,Påskeferie
2017-04-12,Buøy skole,Nei,Ja,Påskeferie
2017-04-13,Buøy skole,Nei,Nei,Skjærtorsdag
2017-04-14,Buøy skole,Nei,Nei,Langfredag
2017-04-16,Buøy skole,Nei,Nei,1. påskedag
2017-04-17,Buøy skole,Nei,Nei,2. påskedag
2017-05-01,Buøy skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Buøy skole,Nei,Nei,Grunnlovsdag
2017-05-25,Buøy skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Buøy skole,Nei,Nei,Planleggingsdag
2017-06-04,Buøy skole,Nei,Nei,1. pinsedag
2017-06-05,Buøy skole,Nei,Nei,2. pinsedag
2017-06-30,Buøy skole,Nei,Ja,siste dag  - sfo
2016-08-01,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-02,Byfjord skole,Nei,Ja,første dag  - sfo
2016-08-11,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-12,Byfjord skole,Nei,Nei,Planleggingsdag
2016-08-15,Byfjord skole,Nei,Ja,Planleggingsdag
2016-08-16,Byfjord skole,Nei,Ja,Planleggingsdag
2016-08-17,Byfjord skole,Nei,Ja,Planleggingsdag
2016-10-10,Byfjord skole,Nei,Ja,Høstferie
2016-10-11,Byfjord skole,Nei,Ja,Høstferie
2016-10-12,Byfjord skole,Nei,Ja,Høstferie
2016-10-13,Byfjord skole,Nei,Ja,Høstferie
2016-10-14,Byfjord skole,Nei,Ja,Høstferie
2016-11-18,Byfjord skole,Nei,Nei,Planleggingsdag
